log_id,user_id,period_id,type_id,date,time,food_name,food_group,quantity,calories,food_national,food_price
60,u000001,p001,T00001,2021/11/27,9:00:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,55
61,u000003,p001,T00002,2021/11/27,9:00:00,แซลมอนซาชิมิ,กับข้าว,1,179,ญี่ปุ่น,301
62,u000004,p001,T00001,2021-11-27,9:00:00,กาแฟชาเขียว,กาแฟ,1,300,นานาชาติ,65
63,u000001,p002,T00002,2021/11/27,12:00:00,ข้าวกะเพราหมู,ข้าว,1,610,ไทย,40
64,u000004,p002,T00002,2021-11-27,12:00:00,ข้าวมันไก่,ข้าว,1,618,ไทย,55
65,u000001,p004,T00002,2021/11/27,18:00:00,ก๋วยเตี๋ยวเย็นตาโฟต้มยำ,ก๋วยเตี๋ยว,1,420,ไทย,50
66,u000003,p004,T00002,2021/11/27,18:00:00,ราเมงหมูสามชั้น,ก๋วยเตี๋ยว,1,436,ญี่ปุ่น,189
67,u000004,p004,T00002,2021-11-27,18:00:00,ก๋วยเตี๋ยวปลาต้มยำ,ก๋วยเตี๋ยว,2,300,ไทย,55
68,u000003,p002,T00002,2021/11/27,11:50:00,ก๋วยเตี๋ยวราดหน้าปลากะพง,ก๋วยเตี๋ยว,1,400,ไทย,120
69,u000001,p001,T00002,2021/11/27,8:30:00,ข้าวหมูทอดกระเทียม,ข้าว,1,525,ไทย,40
70,u000003,p001,T00002,2021/11/28,8:30:00,ข้าวเหนียวหมูทอด,ข้าว,1,440,ไทย,30
71,u000003,p001,T00001,2021/11/28,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
72,u000004,p001,T00001,2021-11-28,9:00:00,กาแฟดำน้ำผึ้ง,กาแฟ,1,100,นานาชาติ,55
73,u000001,p001,T00001,2021/11/28,10:00:00,กาแฟดริป,กาแฟ,1,0,นานาชาติ,20
74,u000001,p002,T00002,2021/11/28,12:00:00,ข้าวกะเพราเนื้อออสเตรเลีย,ข้าว,1,700,ไทย,100
75,u000003,p002,T00002,2021/11/28,12:00:00,ผัดไทยกุ้งสด,ก๋วยเตี๋ยว,1,488,ไทย,70
76,u000003,p002,T00005,2021/11/28,12:00:00,กล้วยหอม,ผลไม้,1,88,นานาชาติ,8
77,u000004,p002,T00002,2021-11-28,12:00:00,แซนวิชแฮมชีส,ขนมปัง,1,240,นานาชาติ,35
78,u000001,p004,T00002,2021/11/28,18:00:00,ข้าวหน้าเนื้อยากินิกุ,ข้าว,1,758,ญี่ปุ่น,120
79,u000003,p004,T00002,2021/11/28,18:00:00,ไก่ทอดวิงแซ่บ,กับข้าว,5,500,นานาชาติ,129
80,u000004,p004,T00003,2021-11-28,18:00:00,เครปหมูหยองน้ำพริกเผา,ของว่าง,1,451,ไทย,65
81,u000004,p005,T00002,2021-11-28,18:30:00,สุกี้ญี่ปุ่น,ก๋วยเตี๋ยว,1,225,ญี่ปุ่น,200
82,u000003,p005,T00003,2021/11/28,18:40:00,ขนมถุง,ขนม,1,140,นานาชาติ,40
83,u000001,p001,T00002,2021/11/28,8:30:00,โจ๊กหมูใส่ไข่,ข้าว,1,250,ไทย,30
84,u000002,p001,T00002,2021/11/29,8:30:00,แซนวิชแฮมชีส,ขนมปัง,1,240,นานาชาติ,27
85,u000003,p001,T00002,2021/11/29,8:30:00,ไส้กรอก,ของว่าง,1,300,นานาชาติ,40
86,u000003,p001,T00001,2021/11/29,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
87,u000004,p001,T00001,2021-11-29,9:00:00,ชาไทย,ชา,1,300,ไทย,65
88,u000001,p001,T00001,2021/11/29,10:00:00,กาแฟดริป,กาแฟ,1,0,นานาชาติ,20
89,u000001,p002,T00002,2021/11/29,12:00:00,บะหมี่เกี๊ยวหมูแดง,ก๋วยเตี๋ยว,1,370,จีน,40
90,u000003,p002,T00002,2021/11/29,12:10:00,ผัดซีอิ๊วใส่ไข่,ก๋วยเตี๋ยว,1,790,ไทย,40
91,u000002,p002,T00002,2021/11/29,12:30:00,ก๋วยเตี๋ยวไก่,ก๋วยเตี๋ยว,1,428,ไทย,45
92,u000001,p004,T00002,2021/11/29,18:00:00,หมูกระทะ,บุฟเฟ่ต์,1,400,ไทย,200
93,u000004,p004,T00002,2021-11-29,18:00:00,ก๋วยเตี๋ยวน้ำตกหมู,ก๋วยเตี๋ยว,2,360,ไทย,35
94,u000002,p005,T00002,2021/11/29,19:30:00,ก๋วยเตี๋ยวหมูต้มยำ,ก๋วยเตี๋ยว,1,300,ไทย,45
95,u000003,p005,T00002,2021/11/29,19:30:00,ราเมงหมูสามชั้น,ก๋วยเตี๋ยว,1,436,ญี่ปุ่น,189
96,u000004,p003,T00004,2021-11-29,15:00:00,ขนมฝอยทอง,ของหวาน,1,360,ไทย,55
97,u000001,p001,T00002,2021/11/29,8:30:00,โจ๊กหมูใส่ไข่,ข้าว,1,250,ไทย,30
98,u000002,p001,T00002,2021/11/30,8:30:00,ข้าวเหนียว ไก่ทอด,ข้าว,1,350,ไทย,30
99,u000003,p001,T00002,2021/11/30,8:30:00,ซาลาเปาหมูสับ,ของว่าง,1,180,ไทย,9
100,u000003,p001,T00001,2021/11/30,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
101,u000001,p001,T00001,2021/11/30,9:00:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,55
102,u000004,p001,T00001,2021-11-30,9:00:00,กาแฟท๊อฟฟี่นัทลาเต้,กาแฟ,1,301,นานาชาติ,150
103,u000001,p002,T00002,2021/11/30,12:00:00,ข้าวกะเพราหมู,ข้าว,1,610,ไทย,40
